cell,assigned,dominant,continent,share,land_frac,verdict,breakdown,rows,images
Antarctica_-180_-90_-175_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-175_-90_-170_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-170_-90_-165_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-165_-90_-160_-85,Antarctica,Antarctica,Antarctica,1.0,0.999,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-160_-90_-155_-85,Antarctica,Antarctica,Antarctica,1.0,0.984,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-155_-90_-150_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-150_-90_-145_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-145_-90_-140_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-140_-90_-135_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-135_-90_-130_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-130_-90_-125_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-125_-90_-120_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-120_-90_-115_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-115_-90_-110_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-110_-90_-105_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-105_-90_-100_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-100_-90_-95_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-95_-90_-90_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-90_-90_-85_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-85_-90_-80_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-80_-90_-75_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-75_-90_-70_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-70_-90_-65_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-65_-90_-60_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-60_-90_-55_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-55_-90_-50_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-50_-90_-45_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
