sw_lon,sw_lat,ne_lon,ne_lat,region
-180,-90,-175,-85,Antarctica
-175,-90,-170,-85,Antarctica
-170,-90,-165,-85,Antarctica
-165,-90,-160,-85,Antarctica
-160,-90,-155,-85,Antarctica
-155,-90,-150,-85,Antarctica
-150,-90,-145,-85,Antarctica
-145,-90,-140,-85,Antarctica
-140,-90,-135,-85,Antarctica
-135,-90,-130,-85,Antarctica
-130,-90,-125,-85,Antarctica
-125,-90,-120,-85,Antarctica
-120,-90,-115,-85,Antarctica
-115,-90,-110,-85,Antarctica
-110,-90,-105,-85,Antarctica
-105,-90,-100,-85,Antarctica
-100,-90,-95,-85,Antarctica
-95,-90,-90,-85,Antarctica
-90,-90,-85,-85,Antarctica
-85,-90,-80,-85,Antarctica
-80,-90,-75,-85,Antarctica
-75,-90,-70,-85,Antarctica
-70,-90,-65,-85,Antarctica
-65,-90,-60,-85,Antarctica
-60,-90,-55,-85,Antarctica
-55,-90,-50,-85,Antarctica
-50,-90,-45,-85,Antarctica
-45,-90,-40,-85,Antarctica
-40,-90,-35,-85,Antarctica
-35,-90,-30,-85,Antarctica
-30,-90,-25,-85,Antarctica
-25,-90,-20,-85,Antarctica
-20,-90,-15,-85,Antarctica
-15,-90,-10,-85,Antarctica
-10,-90,-5,-85,Antarctica
-5,-90,0,-85,Antarctica
0,-90,5,-85,Antarctica
5,-90,10,-85,Antarctica
10,-90,15,-85,Antarctica
15,-90,20,-85,Antarctica
20,-90,25,-85,Antarctica
25,-90,30,-85,Antarctica
30,-90,35,-85,Antarctica
35,-90,40,-85,Antarctica
40,-90,45,-85,Antarctica
45,-90,50,-85,Antarctica
50,-90,55,-85,Antarctica
55,-90,60,-85,Antarctica
60,-90,65,-85,Antarctica
65,-90,70,-85,Antarctica
70,-90,75,-85,Antarctica
75,-90,80,-85,Antarctica
80,-90,85,-85,Antarctica
85,-90,90,-85,Antarctica
90,-90,95,-85,Antarctica
95,-90,100,-85,Antarctica
100,-90,105,-85,Antarctica
105,-90,110,-85,Antarctica
110,-90,115,-85,Antarctica
115,-90,120,-85,Antarctica
120,-90,125,-85,Antarctica
125,-90,130,-85,Antarctica
130,-90,135,-85,Antarctica
135,-90,140,-85,Antarctica
140,-90,145,-85,Antarctica
145,-90,150,-85,Antarctica
150,-90,155,-85,Antarctica
155,-90,160,-85,Antarctica
160,-90,165,-85,Antarctica
165,-90,170,-85,Antarctica
170,-90,175,-85,Antarctica
175,-90,180,-85,Antarctica
-180,-85,-175,-80,Antarctica
-175,-85,-170,-80,Antarctica
-170,-85,-165,-80,Antarctica
-165,-85,-160,-80,Antarctica
-160,-85,-155,-80,Antarctica
-155,-85,-150,-80,Antarctica
-150,-85,-145,-80,Antarctica
-145,-85,-140,-80,Antarctica
-140,-85,-135,-80,Antarctica
-135,-85,-130,-80,Antarctica
-130,-85,-125,-80,Antarctica
-125,-85,-120,-80,Antarctica
-120,-85,-115,-80,Antarctica
-115,-85,-110,-80,Antarctica
-110,-85,-105,-80,Antarctica
-105,-85,-100,-80,Antarctica
-100,-85,-95,-80,Antarctica
-95,-85,-90,-80,Antarctica
-90,-85,-85,-80,Antarctica
-85,-85,-80,-80,Antarctica
-80,-85,-75,-80,Antarctica
-75,-85,-70,-80,Antarctica
-70,-85,-65,-80,Antarctica
-65,-85,-60,-80,Antarctica
-60,-85,-55,-80,Antarctica
-55,-85,-50,-80,Antarctica
-50,-85,-45,-80,Antarctica
-45,-85,-40,-80,Antarctica
-40,-85,-35,-80,Antarctica
-35,-85,-30,-80,Antarctica
-30,-85,-25,-80,Antarctica
-25,-85,-20,-80,Antarctica
-20,-85,-15,-80,Antarctica
-15,-85,-10,-80,Antarctica
-10,-85,-5,-80,Antarctica
-5,-85,0,-80,Antarctica
0,-85,5,-80,Antarctica
5,-85,10,-80,Antarctica
10,-85,15,-80,Antarctica
15,-85,20,-80,Antarctica
20,-85,25,-80,Antarctica
25,-85,30,-80,Antarctica
30,-85,35,-80,Antarctica
35,-85,40,-80,Antarctica
40,-85,45,-80,Antarctica
45,-85,50,-80,Antarctica
50,-85,55,-80,Antarctica
55,-85,60,-80,Antarctica
60,-85,65,-80,Antarctica
65,-85,70,-80,Antarctica
70,-85,75,-80,Antarctica
75,-85,80,-80,Antarctica
80,-85,85,-80,Antarctica
85,-85,90,-80,Antarctica
90,-85,95,-80,Antarctica
95,-85,100,-80,Antarctica
100,-85,105,-80,Antarctica
105,-85,110,-80,Antarctica
110,-85,115,-80,Antarctica
115,-85,120,-80,Antarctica
120,-85,125,-80,Antarctica
125,-85,130,-80,Antarctica
130,-85,135,-80,Antarctica
135,-85,140,-80,Antarctica
140,-85,145,-80,Antarctica
145,-85,150,-80,Antarctica
150,-85,155,-80,Antarctica
155,-85,160,-80,Antarctica
160,-85,165,-80,Antarctica
165,-85,170,-80,Antarctica
